 rahogI	 raha
 xiKAegI	 xiKA
 sunawe - sunawe	 suna - suna
 KonA	 Ko
 bawAe	 bawA
 macAoge	 macA
 mAMgakara	 mAMga
 GabadAe	 GabadA
 sahawe - sahawe	 saha - saha
 calegI	 cala
 macAmacAkara	 macAmacAkara
 pahuMcUMgA	 pahuMca
 mAMgawA - KAwA	 mAMga - KAwA
 curAkara	 curA
 xilAyA	 xilA
 mAMga - mAMgakara	 mAMga - mAMga
 pioge	 pI
 baMXawI	 baMXa
 XoUM	 Xo
 BAgane	 BAga
 pUje	 pUja
 uTAUMgA	 uTA
 AegA	 A
 sIKo	 sIKa
 biCAnA	 biCAnA
 katawA	 kata
 sIKI	 sIKA
 mAMgeM	 mAMga
 Tokawe	 Toka
 banAyA	 banA
 sUnA	 sUnA
 Pirane	 Pira
 hajZama	 hajZama
 Xone	 Xo
 mitanevAle	 mita
 soPI - wumane	 soPI - wU
 cillAeMge	 cillA
 tikA	 tikA
 CipawI	 Cipa
 rahUMgA	 raha
 hUz	 hE
 hUM	 hE
 KarI - KarI	 KarA - KarA
 sIMcegI	 sIMca
 PElAPElAkara	 PElAPElAkara
 kIM - calakara	 kara - cala
 darawI	 dara
 darawe	 dara
 pUCA - wuma	 pUCa - wU
 CInA	 CInA
 KujA - KujA	 KujA - KujA
 kahA - lIjie	 kahA - le
 jAegA - kaBI - kaBI	 jA - kaBI - kaBI
 GabadAyA	 GabadA
 bolA - yahI	 bolA - yahI
 lene - xene	 le - xe
 pIsawA	 pIsa
 bETI - wuma	 bETa - wU
 JoMkanA	 JoMka
 gurrAne	 gurrA
 sulagawI	 sulagawA
 bole - hAz	 bola - hAz
 ginawe - ginawe	 gina - gina
 PulAkara	 PulA
 CAztawI	 CAzta
 xOdAI	 xOdA
 gayA - marajAxa	 jA - marajAxa
 mAMPanA	 mAMPanA
 xOdAo	 xOdA
 xeKawe - hI - xeKawe	 xeKa - hI - xeKa
 alApe	 alApa
 PEle	 PElA
 razge	 razga
 PElI	 PElA
 raheM	 raha
 bETA - bETA	 bETA - bETA
 KulA	 KulA
 lutAne	 lutA
 wAnawe	 wAna
 pukAra	 pukAra
 calAUzgA	 calA
 wodZakara	 wodZa
 xeKanevAloM	 xeKa
 reMgawe	 reMga
 BUKA	 BUKA
 lagA - yaha	 lagA - yaha
 bolI - aBI	 bolI - aBI
 jawAne	 jawA
 baDZasakA	 baDZasakA
 kahAMgae	 kahAMgae
 jamAe	 jamA
 WI - Aha	 WA - Aha
 jamAI	 jamAI
 ladZA	 ladZA
 socegI	 soca
 dAlegI	 dAla
 WI - Aja	 WA - Aja
 Golakara	 Gola
 soye	 soyA
 leSa	 leSa
 jagAnA	 jagA
 tarrA	 tarrA
 vasUla	 vasUla
 xina - ke - xina	 xina - kA - xina
 Japaka	 Japaka
 bolA - kisase	 bolA - kOna
 nIceUpara	 nIceUpara
 xOde	 xOda
 xOdI	 xOda
 cAhegA	 cAha
 karuMgI	 kara
 uXArawe	 uXAra
 mudZe	 mudZA
 PUta - PUta	 PUta - PUta
 uXarane	 uXarane
 leM	 le
 sazvAre	 sazvAra
 baGArawe	 baGAra
 jagAUM	 jagA
 CipAnA	 CipA
 mAne	 mAne
 udZakara	 udZa
 nAcane	 nAca
 samaJAUzgI	 samaJA
 piyoge	 pI
 piyogI	 pI
 bole - nahIM	 bola - nahIM
 KatakawA	 Kataka
 CodZawe	 CodZa
 BaranA	 Bara
 pInevAlA	 pI
 karanA	 kara
 camakawI	 camakawA
 bole - xeKA	 bola -[?j xeKA
 camakawe	 camakawA
 kahA - agara	 kahA - agara
 XadZakawe	 XadZaka
 Perawe	 Pera
 xeKA - yaha	 xeKA - yaha
 BUlawA	 BUla
 samaJrUgA	 samaJrUgA
 jawAI - una	 jawA - vaha
 pahuMcanA	 pahuMca
 cupadZakara	 cupadZa
 KataKatAI	 KataKatA
 siXAÚra	 siXA
 lAoge	 lA
 becakara	 beca
 laxe	 laxA
 laxI	 laxA
 hazsawA	 hazsawA
 garamAe	 garamA
 pUCawe	 pUCa
 pUCawI	 pUCa
 lOtAkara	 lOtA
 kahA - bahano	 kahA - bahano
 KilAegA	 KilA
 nahIMhowI	 nahIMhowI
 kahA - hogA	 kahA - ho
 habSineM	 habSineM
 Kolakara	 Kola
 kahA - kursiyAM	 kahA - kursI
 kAtane	 kAta
 cabalAkara	 cabalA
 rokawA	 roka
 PisalawA	 Pisala
 PatakAranA	 PatakAra
 rahesahe	 rahesahe
 PedZa	 PedZa
 Akara	 Akara
 kareMba	 kareMba
 padArahA	 padArahA
 mazgavAI	 mazgavA
 Cipane	 Cipa
 dAMtA - wU	 dAMta - wU
 darI	 darA
 dare	 darA
 sakoge	 saka
 daro	 dara
 sakogI	 saka
 maDZAba	 maDZAba
 KOlawA	 KOla
 soezge	 soezge
 soezgI	 so
 cUsUM	 cUsa
 gujarA	 gujara
 bikegA	 bika
 tapakawI	 tapaka
 tapakawe	 tapaka
 CipIM	 Cipa
 KAegA	 KA
 mAMgeMge	 mAMga
 WUkegA	 WUka
 PiregA	 Pira
 pETA	 pETA
 samaJa - bUJakara	 samaJa - bUJa
 cUmA	 cUma
 jawAI	 jawA
 nikalawe	 nikala
 rIJa	 rIJa
 bolA - koI	 bolA - koI
 WI - kASa	 WA - kASa
 JukogI	 Juka
 nAce - yaxeMge	 nAca - yaxeMge
 xiyA - PeMka	 xiyA - PeMka
 mudZakara	 mudZa
 gaIM - nahIM	 jA - nahIM
 jodZawe	 jodZa
 banAne - bigAdZanevAlA	 banA - bigAdZa
 jodZawI	 jodZa
 pilAUzgA	 pilA
 bulavAeM	 bulavA
 ParamAwe	 ParamA
 xenA	 xe
 banAoge	 banA
 suKAe	 suKA
 CAMtawI	 CAMta
 jilAyA	 jilA
 suKAI	 suKA
 kADZawe	 kADZa
 gaye	 jA
 gayI	 jA
 parawI	 parawI
 suKAo	 suKA
 uTAI - bahUjI	 uTAI - bahUjI
 hazsanevAlA	 hazsa
 milAe	 milA
 pukArane	 pukAra
 leta	 leta
 bETUM	 bETa
 bETUz	 bETa
 milAo	 milA
 XAÝnawe	 XA
 bole - wo	 bola - wo
 cOMkeMge	 cOMka
 lagavA	 lagavA
 rahUzgI	 raha
 DazkA	 DazkA
 haraxama	 haraxama
 cipakAe	 cipakA
 kaheM - suneM	 kaha - suna
 biCAkara	 biCA
 xqDZaWA	 xqDZaWA
 WA - jalxa	 WA - jalxa
 jutAe	 jutA
 akadZa	 akadZa
 poMCe	 poMCA
 kahA - nikala	 kahA - nikala
 dAMtawe	 dAMta
 kahA - yahAz	 kahA - yahAz
 kahA - yahAM	 kahA - yahAM
 kawarAkara	 kawarA
 cUkawe	 cUka
 pakadZie	 pakadZa
 lajavAkara	 lajavA
 banAwe - bigAdZawe	 banA - bigAdZa
 bacAIba	 bacAIba
 nikala - nikalakara	 nikala - nikala
 basI	 basA
 kahA - kahIM	 kahA - kahIM
 base	 basA
 caDZAIM	 caDZA
 PatakAra	 PatakAra
 AIM - hama	 A - mEM
 mudZawA	 mudZa
 PaMsAne	 PaMsA
 male	 malA
 BIgI	 BIgA
 BIge	 BIgA
 xeKoge	 xeKa
 bole - kaBI	 bola - kaBI
 PAdZakara	 PAdZa
 pAla - posa	 pAla - posa
 soPZiyA - aBI	 soPZiyA - aBI
 soPZiyA - merI	 soPZiyA - merA
 cZawA	 cZawA
 lA - lAkara	 lA - lA
 nikAlI - Ese	 nikAla - Ese
 PatakArA	 PatakAra
 sunAyA	 sunA
 lage - aba	 lagA - aba
 DUMDZa	 DUMDZa
 becawe	 beca
 haMsane	 haMsa
 Bigokara	 Bigo
 rUTA	 rUTA
 sahA	 sahA
 XAmakA	 XAmakA
 udZawI	 udZa
 barasa	 barasa
 sahama	 sahama
 KulavAo	 KulavA
 girawe - girawe	 gira - gira
 mitTU - wuJase	 mitTU - wU
 vicarUzgI	 vicara
 hadZapa	 hadZapa
 jAeágI	 jA
 wAnakara	 wAna
 rone	 ronA
 xOdZAI	 xOdZA
 xOdZAe	 xOdZA
 pUCUzgA	 pUCa
 uwaravAoge	 uwaravA
 saje	 saja
 lAxI	 lAxI
 lAxe	 lAxa
 pukArUMgA	 pukAra
 lAxo	 lAxa
 cUmUz	 cUma
 lUtakara	 lUta
 CapavAUz	 CapavA
 kAtoge	 kAta
 calAeM	 calA
 latakawe	 lataka
 dAztA	 dAzta
 GudZake - JidZake	 GudZaka - JidZaka
 GabadAwe	 GabadA
 sUJegI	 sUJa
 sakeM	 saka
 bole - merI	 bola - merA
 leMge	 le
 KIcaMwI	 KIcaMwI
 leMgI	 le
 xiyA - mEM	 xiyA - mEM
 bako	 baka
 guxaguxA	 guxaguxA
 cakarA	 cakarA
 baDZAnA	 baDZA
 cZAI	 cZAI
 PeMkoge	 PeMka
 bETawI	 bETa
 bETawe	 bETa
 KisiyAyA	 KisiyA
 cAhawIq	 cAhawIq
 muKaba	 muKaba
 JalawA	 Jala
 cAhawIM	 cAha
 JUlakara	 JUla
 ladZAyA	 ladZA
 banavAUMgA	 banavA
 sazBAlakara	 sazBAla
 BAgawe	 BAga
 BAgawI	 BAga
 banavAwe	 banavA
 soUMgA	 so
 banavAwI	 banavA
 xeKakara	 xeKa
 mimiyA	 mimiyA
 wodZanA	 wodZa
 gaIM - usase	 jA - vaha
 dagamagAwe	 dagamagA
 xiKalAne	 xiKalA
 xeKA - wumheM	 xeKA - wU
 biCI	 biCA
 CodAgayA	 CodAgayA
 xiKAie	 xiKA
 pUCA - wUne	 pUCa - wU
 kahA - ve	 kahA - vaha
 WI - helena	 WA - helena
 biCudZa	 biCudZa
 xOdZegA	 xOdZa
 caKAyA	 caKA
 palategA	 palata
 seMkakara	 seMka
 PodZane	 PodZa
 CUUMgA	 CUUMgA
 dAlanevAlA	 dAla
 ratawe	 rata
 calAezge	 calA
 biCAye	 biCA
 saMvAre	 saMvAra
 uTAnA	 uTA
 kahA - jAo	 kahA - jA
 WA - apanI	 WA - apanA
 paDZie	 paDZa
 bolA - isakI	 bolA - yaha
 baDane	 baDa
 bolA - isake	 bolA - yaha
 cAhA	 cAhA
 xIjiegA - nEnAxevI	 xe - nEnAxevI
 WakanA	 Waka
 dAla	 dAla
 kahIM	 kahIM
 bana - Tanakara	 bana - Tana
 PElAyA	 PElA
 jodZA	 jodZA
 milegI	 mila
 bolI - yaha	 bolI - yaha
 pakadZUz	 pakadZa
 WA - sajjano	 WA - sajjano
 pUCA - hujUra	 pUCa - hujUra
 samaJawA	 samaJa
 saka	 saka
 saja	 saja
 ladZaKadZAwA	 ladZaKadZA
 bolA - kuCa - na-kuCa	 bolA - kuCa - na-kuCa
 AXAÚ	 AXA
 saha	 saha
 cakKo	 cakKo
 gAye	 gA
 AyagA	 AyagA
 cUkawA	 cUka
 uTanA	 uTa
 xiyA - mere	 xiyA - merA
 pukArawI	 pukAra
 ubAro	 ubAra
 sawAyA	 sawAyA
 padZI - wumhAre	 padZA - wU
 jAeá¢	 jA
 rUkavAkara	 rUkavAkara
 mAnegI	 mAna
 KuxavAyA	 KuxavA
 AiegA	 A
 kamAkara	 kamA
 uXara	 uXara
 KarIxakara	 KarIxa
 CudAne	 CudA
 barasoM	 barasa
 gaharA	 gaharA
 baDZegI	 baDZa
 BidZawe	 BidZa
 pahuzcUz	 pahuzca
 BAMpa	 BAMpa
 haMseMge	 haMsa
 xeKegA	 xeKa
 haMseMgI	 haMsa
 sakI	 saka
 sake	 saka
 sako	 saka
 sulaJAUz	 sulaJA
 nikAyA	 nikA
 jAweq	 jAweq
 adZa	 adZa
 wudZavA	 wudZavA
 kahA - mahanwajI	 kahA - mahanwajI
 kucalane	 kucala
 liKie	 liKa
 KAwA - pahanawA	 KAwA - pahana
 rakKA	 rakKA
 bananA	 bana
 samaJA - buJAkara	 samaJA - buJA
 milajula	 milajula
 saccA	 saccA
 bazXAvAo	 bazXAvAo
 WA - wuma	 WA - wU
 uXarawe	 uXarawe
 ulaJA	 ulaJA
 udAxie	 udAxie
 CudZAne	 CudZA
 AyA - kyoM	 AyA - kyoM
 sane	 sana
 pIsa - pIsa	 pIsa - pIsa
 cukAe	 cukA
 laharAwI	 laharAwA
 JUma	 JUma
 baMXa	 baMXa
 laharAwe	 laharAwA
 nahAo	 nahA
 nahAI	 nahA
 BejawA	 Beja
 JUla	 JUla
 cabavAwI	 cabavA
 hogI	 ho
 padZA - ye	 padZA - yaha
 karAhakara	 karAha
 ukasA	 ukasA
 hoge	 ho
 dUbane	 dUba
 gaI - acCA	 jA - acCA
 galegI	 gala
 lagavAUM	 lagavA
 bole - yahAz	 bola - yahAz
 bawAiegA	 bawA
 patakane	 pataka
 WA - nisiyAsa	 WA - nisiyAsa
 gujarane	 gujara
 lOtAnA	 lOtA
 ciDZeMge	 ciDZa
 CodZa - CodZakara	 CodZa - CodZa
 cuBAe	 cuBA
 Gutane	 GutanA
 girakara	 gira
 JallAegA	 JallA
 rUlAnA	 rUlAnA
 WaraWarA	 WaraWarA
 pahuMcawepahuMcawe	 pahuMcawepahuMcawe
 paDZAkara	 paDZA
 JruJalA	 JruJalA
 Dalane	 Dala
 kIjie	 kara
 gAliyAz	 gAlI
 tUtawA	 tUta
 calogI	 cala
 caloge	 cala
 asIva	 asIva
 Kelakara	 Kela
 padZegA - yahI	 padZa - yahI
 PUta - PUtakara	 PUta - PUtakara
 kahA - calo	 kahA - cala
 ciDZa	 ciDZa
 hE - pAlA	 hE - pAlA
 bETawIM	 bETa
 JagadZane	 JagadZa
 bawAiye	 bawA
 biTAyA	 biTA
 varawI	 vara
 karawI - ye	 kara - yaha
 mola	 mola
 banavAye	 banavA
 soPiyA - muJe	 soPiyA - mEM
 xiyA - mAra - mArakara	 xiyA - mAra - mAra
 lUto	 lUta
 bacAkara	 bacA
 baxalanI	 baxala
 baxalane	 baxala
 lUte	 lUtA
 svAhA	 svAhA
 jAwe - jAwe	 jA - jA
 nikalA - yaha	 nikalA - yaha
 mofa	 mofa
 rowIM	 ro
 kahA - sUraxAsa	 kahA - sUraxAsa
 hatIba	 hatIba
 sunAez	 sunA
 BUla	 BUla
 BUna	 BUna
 socA	 socA
 CitakI	 Citaka
 bETA	 bETA
 xiKAegA	 xiKA
 CakAyA	 CakA
 xegA	 xe
 bAMXAwI	 bAMXAwI
 cOMka	 cOMka
 sarAhawe	 sarAha
 karanevAloM	 kara
 tapake	 tapaka
 samA	 samA
 becUz	 beca
 tapakI	 tapaka
 becUM	 beca
 modZE	 modZE
 BAgIM	 BAga
 pAlogI	 pAla
 pahuMcAwe	 pahuMcA
 modZe	 modZA
 socakara	 soca
 PaMsawA	 PaMsa
 BoganA	 Boga
 samaJa	 samaJa
 PirUz	 Pira
 xiyA - nahIM	 xiyA - nahIM
 hilanA	 hila
 ginAnI	 ginA
 kuDZawe	 kuDZa
 hatA	 hatA
 gAUM	 gA
 kuDZawI	 kuDZa
 KIMcawA	 KIMca
 joga	 joga
 niKara	 niKara
 careMgI	 cara
 KOlane	 KOla
 saMBalanA	 saMBala
 be - kAma - XaMXe	 be - kAma - XaMXA
 Tahare	 TaharA
 rahakara	 raha
 kahA - isakI	 kahA - yaha
 PUta	 PUta
 lAyIM	 lA
 pUCanevAlA	 pUCa
 nacA	 nacA
 PUla	 PUla
 kahA - BAiyo	 kahA - BAiyo
 uwArawI	 uwAra
 sahalAwA	 sahalA
 uwArawe	 uwAra
 milUzgI	 mila
 hadZabadZAkara	 hadZabadZA
 xI - unhIM	 xe - vaha
 ubala	 ubala
 DUMDawA	 DUMDa
 ubara	 ubara
 KAwIM	 KA
 gadZe	 gadZA
 Koez	 Ko
 udZAnA	 udZA
 gadZI	 gadZA
 ladZUzgA	 ladZa
 Pazsakara	 Pazsa
 manA	 manA
 matakAIM	 matakA
 gayA - jI	 jA - jI
 tUtanA	 tUta
 atala	 atala
 modZakara	 modZa
 bole - Apase	 bola - ApasA
 kahA - isa	 kahA - yaha
 kahA - jagaha	 kahA - jagaha
 bolA - hadZawAla	 bolA - hadZawAla
 marawe	 marawA
 marawI	 marawA
 sile	 silA
 nAle - Bara	 nAlA - Bara
 kosUM	 kosa
 lageM - ijjawa	 laga - ijjawa
 kAtanA	 kAta
 CedZawe	 CedZa
 BogA	 BogA
 nAcawA	 nAca
 dubAwe	 dubA
 mAnUzgA	 mAna
 CodZegA	 CodZa
 gazvA	 gazvA
 XikkArA	 XikkAra
 bAzXo	 bAzXa
 bAzXe	 bAzXa
 bawalAwIM	 bawalA
 gAwe - gAwe	 gA - gA
 hUM - wU	 hE - wU
 raKanA	 raKa
 GUrawe	 GUra
 saMBAlakara	 saMBAlakara
 sadZawe	 sadZa
 sadZawI	 sadZa
 bawalA	 bawalA
 wOlanA	 wOla
 lagAnA	 lagA
 Barawe	 BarawA
 BarawI	 BarawI
 sonA	 sonA
 paDZawA	 paDZa
 gazvAne	 gazvA
 nikAlA	 nikAla
 ciDZAkara	 ciDZA
 pAyegI	 pA
 PatI	 PatA
 ho - mEM	 ho - mEM
 JeMpawA	 JeMpa
 lage - wuma	 lagA - wU
 roeMge	 roeMge
 JukAezge	 JukA
 pahuMcawI	 pahuMca
 hArI	 hArI
 jAgawe	 jAga
 jAgawI	 jAga
 PiravA	 PiravA
 cAhUM	 cAha
 cAhUz	 cAha
 CapawA	 Capa
 pUjawe	 pUja
 sajAIM	 sajA
 hAra - jIwa	 hAra - jIwa
 bolA - XoKA	 bolA - XoKA
 uTA - vaha	 uTA - vaha
 bahaka	 bahaka
 CUtawIM	 CUta
 wAkawe - wAkawe	 wAka - wAka
 pakadAhE	 pakadAhE
 bETUzgI	 bETa
 kara - karake	 kara - karakA
 katawIM	 kata
 kahA - Pira	 kahA - Pira
 paDUMgI	 paDa
 huA - wuma	 ho - wU
 kahUzgI	 kaha
 bahA	 bahA
 pahacAnawI	 pahacAna
 girawI	 gira
 girawe	 gira
 pahacAnawe	 pahacAna
 karake - jo	 karakA - jo
 Telane	 Tela
 pAlA	 pAlA
 GUmawe - GUmawe	 GUma - GUma
 Wirakawe	 Wiraka
 jAiegA	 jA
 WirakawI	 Wiraka
 kahie	 kaha
 Poda	 Poda
 jAyeM	 jA
 macAe	 macA
 calanI	 calanI
 calane	 calanA
 macAI	 macA
 calAoge	 calA
 raKA	 raKA
 mUrwivaw	 mUrwivaw
 xiKA	 xiKA
 samaJUMgI	 samaJa
 bahakara	 baha
 hE - kuCa	 hE - kuCa
 bahakA	 bahakA
 pETakara	 pETa
 pahanawA	 pahana
 uCAlIM	 uCAla
 xiKAwe	 xiKA
 KilAUzgA	 KilA
 xiKAwI	 xiKA
 xexe	 xexe
 mEMr	 mEMr
 bicaka	 bicaka
 yoM	 yoM
 Gule - mile	 GulA - milA
 talanA	 tala
 XikkArane	 XikkAra
 mAMganA	 mAMga
 lapetakara	 lapeta
 pUCA - isakI	 pUCa - yaha
 KiMce	 KiMca
 sUKakara	 sUKa
 AjamAwA	 AjamA
 pAvegI	 pAvegI
 luDZaka	 luDZaka
 pUCeMgI	 pUCa
 roUM	 ro
 roUz	 ro
 nikaleM	 nikala
 ladZAne	 ladZA
 pUCeMge	 pUCa
 TaharAUzgA	 TaharA
 bolA - saca	 bolA - saca
 siKAne	 siKA
 bajAyA	 bajA
 bolA - wuma	 bolA - wU
 becArA	 becArA
 kAtUM	 kAta
 CexawA	 Cexa
 Tela	 Tela
 pahuMcAkara	 pahuMcA
 sunavA	 sunavA
 wyAgane	 wyAga
 WA - KabaraxAra	 WA - KabaraxAra
 xiKAne - yogya	 xiKA - yogya
 tatolane	 tatola
 bina	 bina
 bolI - jAwe	 bolI - jA
 xiKAUzgI	 xiKA
 padAki	 padAki
 hO	 hO
 ho	 ho
 katA - katA	 katA - katA
 Kolane	 Kola
 bika	 bika
 muhawAja	 muhawAja
 guna	 guna
 biCa	 biCa
 caDZavAwe	 caDZavA
 johUMgI	 joha
 CipAne	 CipA
 lagAyA - mi	 lagAyA - mi
 PeMko	 PeMka
 cimate	 cimatA
 poCeMgI - Apa	 poCa - Apa
 nikala	 nikala
 XadZakA	 XadZakA
 mAMja	 mAMja
 mAlUma	 mAlUma
 pahanUM	 pahana
 hogA - jIvana	 ho - jIvana
 lage - jahAz	 lagA - jahAz
 jade	 jada
 bulAkara	 bulA
 kahA - hama	 kahA - mEM
 kahA - calogI	 kahA - cala
 XadZaka	 XadZaka
 kahA - dawaN	 kahA - dawaN
 bolI - isakA	 bolI - yaha
 GoMtawe	 GoMta
 basAUzgI	 basA
 piegI	 pI
 maMgavA	 maMgavA
 gAPila	 gAPila
 muraJAne	 muraJA
 bacUzgA	 baca
 bETakara	 bETa
 kaheMge	 kaha
 macAwI	 macA
 macAwe	 macA
 lagI - wUne	 lagA - wU
 legA	 le
 pETa	 pETa
 umadZawA	 umadZa
 KarIxeM	 KarIxa
 xeKa - xeKa	 xeKa - xeKa
 socawI - inakI	 soca - yaha
 cUmeMgI	 cUma
 rUTakara	 rUTa
 kahA - kaBI	 kahA - kaBI
 howI	 ho
 JiJakawA	 JiJaka
 howe	 ho
 paDUMgA	 paDa
 samaJUzgI	 samaJa
 KulawI	 KulawA
 JeMpA	 JeMpa
 Kulawe	 KulawA
 sahalA	 sahalA
 xiyA - wU	 xiyA - wU
 xeKanevAlA	 xeKa
 wale	 wale
 jZagAkara	 jZagA
 karUzgA	 kara
 warasa	 warasa
 pategI	 pata
 dabadabAe	 dabadabA
 mAro	 mAra
 milAwA	 milA
 calAwe	 calA
 calAwI	 calA
 JallAyA	 JallA
 GUmane	 GUma
 KataKatAyI	 KataKatA
 xIM	 xe
 CUtA	 CUtA
 pakadakara	 pakada
 pata	 pata
 AMsU - BarI	 AMsU - BarA
 xIKa	 xIKa
 gUzjawe	 gUzja
 hargija	 hargija
 nahalAe	 nahalA
 CedZoge	 CedZa
 pAegI	 pA
 kahane	 kahanA
 kahanI	 kaha
 KeleM	 Kela
 nAcawIgAwI	 nAcawIgAwI
 rokI	 roka
 roke	 roka
 roko	 roka
 PeMkawA	 PeMka
 pIUM	 pIUM
 pahuMcoge	 pahuMca
 cAkara	 cAkara
 GumAne	 GumA
 AwA	 A
 calanevAlA	 cala
 bacUzgI	 baca
 dubA	 dubA
 bolI - mEMne	 bolI - mEM
 milane	 mila
 mitanA	 mita
 swrIrowI	 swrIrowI
 lutAnA	 lutA
 milanI	 mila
 siKalAnA	 siKalA
 bawalAyA	 bawalA
 uTA - yaxi	 uTA - yaxi
 xeKawI	 xeKa
 xeKawe	 xeKa
 GusawA	 Gusa
 kahA - bilakula	 kahA - bilakula
 xabAI - kaBI	 xabA - kaBI
 JulAyA	 JulA
 TahareM	 Tahara
 bolI - wUne	 bolI - wU
 WAma	 WAma
 gUMWa	 gUMWa
 naWA	 naWA
 banavAnA	 banavA
 Cixa	 Cixa
 CAMtanI	 CAMta
 pagalA	 pagalA
 CInI	 CIna
 Cina	 Cina
 nahAyA	 nahA
 Cipa	 Cipa
 sIMcA	 sIMca
 matakAkara	 matakA
 wAkeM	 wAka
 TUMsa	 TUMsa
 GulAnA	 GulA
 lapaka	 lapaka
 sazBAleM	 sazBAla
 gUMja	 gUMja
 sakegA	 saka
 pInA	 pI
 milAUMgA	 milA
 ulaJawI - wumhIM	 ulaJa - wU
 CodZeM	 CodZa
 haMsa - bolakara	 haMsa - bola
 xUMgA	 xe
 niBI	 niBa
 hEMdanota	 hEMdanota
 samaJAwA	 samaJA
 milAvE	 milAvE
 raKIM	 raKa
 uTI - merA	 uTA - merA
 buJAnA	 buJA
 wodUM	 woda
 sunI	 suna
 mAniegA	 mAna
 jAUz - apanI	 jA - apanA
 saMBalawI	 saMBala
 suno	 suna
 batora	 batora
 hUM - WAyasa	 hE - WAyasa
 haMsA	 haMsA
 karanIcAhie	 karanIcAhie
 jIwejAgawe	 jIwAjAgawA
 hE - merA	 hE - merA
 wAke	 wAka
 lOtUz	 lOta
 sewA	 se
 pahananA - oDZanA	 pahana - oDZanA
 mArA - pItA	 mArA - pIta
 maIMgI	 maIMgI
 uwarawI	 uwara
 uwarawe	 uwara
 uTAkara	 uTA
 WUka	 WUka
 jIwUMgI	 jIwa
 udZelI	 udZela
 lagA - aba	 lagA - aba
 manAnA	 manA
 Done	 Do
 pahuzcegI	 pahuzca
 lAegA	 lA
 hIjAeMge	 hIjAeMge
 bacane	 baca
 AIM	 A
 uXodZa	 uXodZa
 cAhAba	 cAhAba
 kosawI	 kosa
 bETI - bETI	 bETa - bETa
 kosawe	 kosa
 gAzTegI	 gAzTa
 tahalane	 tahala
 samaJAyA	 samaJA
 karanA - XAranA	 kara - XAranA
 KadA	 KadA
 bolA - xeKa	 bolA - xeKa
 kahA - acCA	 kahA - acCA
 bolI - vaha	 bolI - vaha
 AUMgA	 A
 sajAye	 sajA
 liKeM	 liKa
 baxalawA	 baxala
 kahalA	 kahalA
 suKAnA	 suKA
 xuwakAra	 xuwakAra
 bulAwe	 bulA
 lagUz	 laga
 bulAwI	 bulA
 jalAie	 jalA
 tTarI	 tTarI
 pUCe - gaCe	 pUCa - gaCe
 pahuMce	 pahuMca
 pahuMcI	 pahuMca
 xiyA - lekina	 xiyA - lekina
 sUJawI	 sUJa
 beXAdZaka	 beXAdZaka
 rokane	 roka
 cAhUzgI	 cAha
 wErA	 wErA
 bolA - bolo	 bolA - bola
 ro	 ro
 re	 re
 padakara	 padakara
 paDZavAe	 paDZavA
 dAztakara	 dAzta
 citakane	 citaka
 jAeÚ	 jA
 kAzpa	 kAzpa
 gayA - Apa	 jA - Apa
 xiKAUMgA	 xiKA
 bolI - Pira	 bolI - Pira
 mArImArI	 mArImArI
 wAkawI	 wAka
 gayA - Aha	 jA - Aha
 samaJAUMgA	 samaJA
 piUzgA	 pI
 cuneMge	 cuna
 nahAwe	 nahA
 hEM - hama	 hE - mEM
 jAeM	 jA
 banavAkara	 banavA
 jAez	 jA
 Guta	 Guta
 talA	 talA
 letAkara	 letA
 caDZane - uwarane	 caDZa - uwara
 Gusa	 Gusa
 JUlawI	 JUla
 hE - para	 hE - para
 TaharUMgI	 Tahara
 wule	 wulA
 BatakawI	 Bataka
 Batakawe	 Bataka
 wulI	 wulA
 KadArahA	 KadArahA
 pUCA - kyoM	 pUCa - kyoM
 sIKeM	 sIKa
 xOdAeM	 xOdA
 pahacAnane	 pahacAna
 ciDZawA	 ciDZa
 maDZawe	 maDZa
 girUzgA	 gira
 kahA - wumheM	 kahA - wU
 piGalakara	 piGala
 buna	 buna
 kiyA - GAtA - naPA	 kara - GAtA - naPA
 letI	 letA
 lete	 letA
 leto	 leta
 BAgI	 BAgI
 navAwA	 navA
 samaJanevAlI	 samaJa
 gayA - BaMga	 jA - BaMga
 buJa	 buJa
 bacAo	 bacA
 gujareM	 gujara
 calawIM	 cala
 Japatakara	 Japata
 poMCawA	 poMCa
 suneM	 suna
 kahA - sunA	 kahA - sunA
 calAI	 calA
 calAe	 calA
 calAo	 calA
 udZAwA	 udZA
 samaJie	 samaJa
 jalAkara	 jalA
 lagAI	 lagAI
 lagAe	 lagA
 CatapatAne	 CatapatA
 lagAo	 lagA
 maMgAie	 maMgA
 pAe	 pA
 kahUMgA	 kaha
 soyA	 soyA
 pAI	 pAI
 PElAwA	 PElA
 rUkI	 rUka
 xOdZAyA	 xOdZA
 alalle - walalle	 alalle - walalle
 XAdZakane	 XAdZakane
 gUMWA	 gUMWa
 sahakara	 saha
 PazsanA	 Pazsa
 pAWa	 pAWa
 lete - hI - lete	 letA - hI - letA
 Aiye	 A
 xeKrUgA	 xeKrUgA
 kAtakara	 kAta
 pAla	 pAla
 pakadZawA	 pakadZa
 uMdZelawI	 uMdZela
 lipatI	 lipatA
 lipate	 lipatA
 bigadZawA	 bigadZa
 xeá¢ge	 xe
 karawA	 karawA
 wara	 wara
 PeMkI	 PeMka
